Initializing camera...
Camera initialized
Attempting to start camera capture feed...
Camera capture started successfully
Marker A4: [144, 344], 2017-06-27 19:34:20.928188
Marker A3: [441, 322], 2017-06-27 19:34:20.928285
Marker A2: [296, 284], 2017-06-27 19:34:20.928379
Marker A1: [385, 189], 2017-06-27 19:34:20.928472
Marker A6: [355, 420], 2017-06-27 19:34:20.959606
Marker A5: [619, 418], 2017-06-27 19:34:20.959807
Marker A4: [139, 350], 2017-06-27 19:34:20.959926
Marker A3: [437, 328], 2017-06-27 19:34:20.960024
Marker A2: [291, 290], 2017-06-27 19:34:20.960116
Marker A1: [381, 195], 2017-06-27 19:34:20.960218
Marker A6: [353, 424], 2017-06-27 19:34:20.993225
Marker A5: [617, 422], 2017-06-27 19:34:20.993542
Marker A4: [136, 353], 2017-06-27 19:34:20.993671
Marker A3: [434, 332], 2017-06-27 19:34:20.993770
Marker A2: [289, 293], 2017-06-27 19:34:20.993865
Marker A1: [378, 199], 2017-06-27 19:34:20.993961
Marker A6: [357, 420], 2017-06-27 19:34:21.025861
Marker A5: [621, 418], 2017-06-27 19:34:21.026058
Marker A4: [141, 349], 2017-06-27 19:34:21.026174
Marker A3: [439, 328], 2017-06-27 19:34:21.026274
Marker A2: [293, 289], 2017-06-27 19:34:21.026372
Marker A1: [382, 195], 2017-06-27 19:34:21.026464
Marker A6: [357, 422], 2017-06-27 19:34:21.055001
Marker A5: [622, 421], 2017-06-27 19:34:21.055204
Marker A4: [141, 350], 2017-06-27 19:34:21.055320
Marker A3: [439, 330], 2017-06-27 19:34:21.055416
Marker A2: [294, 291], 2017-06-27 19:34:21.055511
Marker A1: [383, 197], 2017-06-27 19:34:21.055605
Marker A6: [356, 424], 2017-06-27 19:34:21.086297
Marker A5: [620, 422], 2017-06-27 19:34:21.086492
Marker A4: [140, 353], 2017-06-27 19:34:21.086608
Marker A3: [438, 332], 2017-06-27 19:34:21.086705
Marker A2: [292, 293], 2017-06-27 19:34:21.086802
Marker A1: [382, 199], 2017-06-27 19:34:21.086895
Marker A6: [355, 423], 2017-06-27 19:34:21.116696
Marker A5: [619, 421], 2017-06-27 19:34:21.116906
Marker A4: [138, 353], 2017-06-27 19:34:21.117031
Marker A3: [437, 332], 2017-06-27 19:34:21.117127
Marker A2: [291, 293], 2017-06-27 19:34:21.117220
Marker A1: [381, 199], 2017-06-27 19:34:21.117321
Marker A6: [351, 424], 2017-06-27 19:34:21.148521
Marker A5: [615, 422], 2017-06-27 19:34:21.148715
Marker A4: [135, 353], 2017-06-27 19:34:21.148841
Marker A3: [433, 332], 2017-06-27 19:34:21.148941
Marker A2: [288, 293], 2017-06-27 19:34:21.149036
Marker A1: [377, 200], 2017-06-27 19:34:21.149138
Marker A6: [350, 422], 2017-06-27 19:34:21.178442
Marker A5: [614, 420], 2017-06-27 19:34:21.178653
Marker A4: [134, 351], 2017-06-27 19:34:21.178770
Marker A3: [432, 330], 2017-06-27 19:34:21.178871
Marker A2: [287, 291], 2017-06-27 19:34:21.178964
Marker A1: [376, 198], 2017-06-27 19:34:21.179065
Marker A6: [347, 422], 2017-06-27 19:34:21.208866
Marker A5: [611, 420], 2017-06-27 19:34:21.209090
Marker A4: [131, 351], 2017-06-27 19:34:21.209230
Marker A3: [429, 330], 2017-06-27 19:34:21.209326
Marker A2: [284, 291], 2017-06-27 19:34:21.209418
Marker A1: [373, 198], 2017-06-27 19:34:21.209521
Marker A6: [349, 420], 2017-06-27 19:34:21.239660
Marker A5: [612, 419], 2017-06-27 19:34:21.239896
Marker A4: [133, 349], 2017-06-27 19:34:21.240020
Marker A3: [431, 329], 2017-06-27 19:34:21.240122
Marker A2: [285, 289], 2017-06-27 19:34:21.240229
Marker A1: [375, 196], 2017-06-27 19:34:21.240327
Marker A6: [352, 418], 2017-06-27 19:34:21.273962
Marker A5: [616, 417], 2017-06-27 19:34:21.274209
Marker A4: [137, 346], 2017-06-27 19:34:21.274335
Marker A3: [434, 327], 2017-06-27 19:34:21.274442
Marker A2: [289, 287], 2017-06-27 19:34:21.274536
Marker A1: [379, 194], 2017-06-27 19:34:21.274631
Marker A6: [351, 417], 2017-06-27 19:34:21.305330
Marker A5: [615, 417], 2017-06-27 19:34:21.305600
Marker A4: [136, 345], 2017-06-27 19:34:21.305730
Marker A3: [433, 326], 2017-06-27 19:34:21.305829
Marker A2: [289, 286], 2017-06-27 19:34:21.305924
Marker A1: [379, 192], 2017-06-27 19:34:21.306020
Marker A6: [349, 418], 2017-06-27 19:34:21.337035
Marker A5: [613, 418], 2017-06-27 19:34:21.337295
Marker A4: [135, 345], 2017-06-27 19:34:21.337423
Marker A3: [432, 327], 2017-06-27 19:34:21.337520
Marker A2: [288, 287], 2017-06-27 19:34:21.337626
Marker A1: [378, 193], 2017-06-27 19:34:21.337723
Marker A6: [346, 418], 2017-06-27 19:34:21.366307
Marker A5: [609, 420], 2017-06-27 19:34:21.366506
Marker A4: [131, 345], 2017-06-27 19:34:21.366634
Marker A3: [429, 327], 2017-06-27 19:34:21.366733
Marker A2: [284, 287], 2017-06-27 19:34:21.366827
Marker A1: [374, 194], 2017-06-27 19:34:21.366921
Marker A6: [349, 410], 2017-06-27 19:34:21.397718
Marker A5: [612, 412], 2017-06-27 19:34:21.397933
Marker A4: [134, 337], 2017-06-27 19:34:21.398054
Marker A3: [432, 320], 2017-06-27 19:34:21.398151
Marker A2: [287, 279], 2017-06-27 19:34:21.398246
Marker A1: [377, 186], 2017-06-27 19:34:21.398352
Marker A6: [349, 402], 2017-06-27 19:34:21.429404
Marker A5: [612, 404], 2017-06-27 19:34:21.429588
Marker A4: [134, 329], 2017-06-27 19:34:21.429710
Marker A3: [432, 312], 2017-06-27 19:34:21.429807
Marker A2: [288, 271], 2017-06-27 19:34:21.429900
Marker A1: [378, 178], 2017-06-27 19:34:21.429994
Marker A6: [347, 398], 2017-06-27 19:34:21.461718
Marker A5: [609, 400], 2017-06-27 19:34:21.461920
Marker A4: [131, 325], 2017-06-27 19:34:21.462041
Marker A3: [429, 308], 2017-06-27 19:34:21.462136
Marker A2: [285, 267], 2017-06-27 19:34:21.462303
Marker A1: [376, 175], 2017-06-27 19:34:21.462405
Marker A6: [347, 398], 2017-06-27 19:34:21.495389
Marker A5: [610, 400], 2017-06-27 19:34:21.495577
Marker A4: [132, 324], 2017-06-27 19:34:21.495689
Marker A3: [430, 308], 2017-06-27 19:34:21.495785
Marker A2: [286, 267], 2017-06-27 19:34:21.495878
Marker A1: [376, 174], 2017-06-27 19:34:21.495971
Marker A6: [345, 401], 2017-06-27 19:34:21.528518
Marker A5: [608, 403], 2017-06-27 19:34:21.528712
Marker A4: [131, 327], 2017-06-27 19:34:21.528833
Marker A3: [428, 310], 2017-06-27 19:34:21.528930
Marker A2: [284, 270], 2017-06-27 19:34:21.529024
Marker A1: [375, 176], 2017-06-27 19:34:21.529117
Marker A6: [340, 407], 2017-06-27 19:34:21.573113
Marker A5: [603, 408], 2017-06-27 19:34:21.573611
Marker A4: [125, 333], 2017-06-27 19:34:21.573751
Marker A3: [423, 316], 2017-06-27 19:34:21.573851
Marker A2: [279, 275], 2017-06-27 19:34:21.573955
Marker A1: [370, 182], 2017-06-27 19:34:21.574056
Marker A6: [332, 409], 2017-06-27 19:34:21.607150
Marker A5: [594, 410], 2017-06-27 19:34:21.607332
Marker A4: [117, 336], 2017-06-27 19:34:21.607447
Marker A3: [415, 319], 2017-06-27 19:34:21.607545
Marker A2: [270, 278], 2017-06-27 19:34:21.607648
